,State,City,CityFIPS
122603,California,Menifee,646842.0
156657,California,San Buenaventura (Ventura),665042.0
267832,Florida,Sunrise,1269700.0
357390,Kansas,Olathe,2052575.0
424127,Michigan,Wyoming,2688940.0
469719,New Jersey,Elizabeth,3421000.0
470503,New Jersey,Jersey City,3436000.0
482946,New Mexico,Santa Fe,3570500.0
483914,New York,Albany,3601000.0
484697,New York,Buffalo,3611000.0
547962,New York,Rochester,3663000.0
552562,New York,Yonkers,3684000.0
669731,Texas,Abilene,4801000.0
793284,Washington,Tacoma,5370000.0
794849,Washington,Vancouver,5374060.0
